Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,1,1,82,82
Fantasy Girl,.38 Special,,Fantasy Girl by .38 Special,1,0,3,0
Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,1,1,85,85
Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,1,1,18,18
Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1,1,1,1
Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,1,1,13,13
Loser,3 Doors Down,2000,Loser by 3 Doors Down,1,1,1,1
When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,1,1,6,6
What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,1,1,3,3
Take On Me,a-ha,1985,Take On Me by a-ha,1,1,1,1
"Baby, Please Don't Go",AC/DC,,"Baby, Please Don't Go by AC/DC",1,0,1,0
Back In Black,AC/DC,1980,Back In Black by AC/DC,1,1,97,97
Big Gun,AC/DC,1993,Big Gun by AC/DC,1,1,6,6
